Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Workout,8/25/23 8:32,FALSE,Davis Running,4.06,284,0:35:18,148,185,3.1,130,194,8:41,5:11,3,6,1.36,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:17.4,15,0,0:30:14,0:37:54,39,46
Running,8/25/23 7:58,FALSE,Davis Running,1.51,117,0:12:33,140,152,2.2,180,188,8:20,7:49,--,--,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:08.2,2,0,0:12:32,0:12:33,39,46
Running,8/24/23 11:01,FALSE,Marin County Running,5.01,370,0:39:08,149,165,3.1,179,216,7:49,6:57,202,203,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.4,6,0,0:38:57,0:43:06,19,149
Elliptical,8/23/23 16:58,FALSE,Elliptical,0,118,0:20:02,120,134,0.8,117,155,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,20:02.5,1,0,0:00:00,0:20:02,--,--
Running,8/23/23 8:28,FALSE,Solano County Running,5.02,381,0:40:21,150,166,3.1,179,188,8:02,7:13,12,13,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:10.4,6,0,0:40:13,0:48:04,30,59
Running,8/22/23 8:55,FALSE,Yolo County Running,1.51,126,0:14:15,151,160,2.2,176,186,9:25,8:32,20,--,0.97,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:41.8,2,0,0:13:57,0:14:48,3,26
Running,8/22/23 8:32,FALSE,Yolo County Running,3,224,0:20:27,173,189,3.3,180,190,6:48,5:38,--,4,1.31,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.7,4,0,0:20:21,0:20:27,16,26
Running,8/22/23 8:04,FALSE,Yolo County Running,2,154,0:15:48,155,165,2.6,175,182,7:53,7:26,20,16,1.17,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.7,3,0,0:15:42,0:15:58,8,27
Indoor Cycling,8/20/23 12:12,FALSE,Indoor Cycling,0,254,0:40:10,125,162,2.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,40:10.0,1,0,0:00:00,0:43:17,--,--
Running,8/20/23 8:00,FALSE,Davis Running,6.01,446,0:48:20,148,160,3.2,175,187,8:03,7:19,10,13,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.7,7,0,0:47:56,0:51:00,46,52
Indoor Cycling,8/19/23 11:44,FALSE,Indoor Cycling,0,224,1:00:02,100,172,1.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.8,1,0,0:00:00,1:00:46,--,--
Elliptical,8/18/23 16:51,FALSE,Elliptical,0,318,0:45:02,140,171,3,114,159,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:29.3,7,0,0:00:00,0:45:02,--,--
Running,8/18/23 8:06,FALSE,Davis Running,3.52,275,0:28:28,152,165,3,177,186,8:06,7:20,7,7,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:11.5,4,0,0:28:22,0:34:26,38,46
Pool Swimming,8/17/23 15:52,FALSE,Pool Swimming,900,112,0:20:27,111,140,0.5,--,--,2:05,0:50,--,--,0,0,0,0,0,0,0,0,0,492,45,26,0,0:00,0,0:00,No,20:27.0,1,0,0:18:47,0:45:40,--,--
Indoor Cycling,8/17/23 9:34,FALSE,Indoor Cycling,0,226,1:00:01,105,131,0.7,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.7,1,0,0:00:00,1:00:01,--,--
Indoor Cycling,8/16/23 9:04,FALSE,Indoor Cycling,0,137,0:35:00,104,125,0.6,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,35:00.1,1,0,0:00:00,0:35:00,--,--
Running,8/16/23 8:11,FALSE,Davis Running,3.07,222,0:25:15,142,163,2.6,176,192,8:13,7:21,--,3,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:39.9,4,0,0:24:57,0:29:25,39,49
Indoor Cycling,8/15/23 14:33,FALSE,Indoor Cycling,0,360,1:15:38,113,161,2.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,15:38.4,1,0,0:00:00,1:16:08,--,--
Pool Swimming,8/13/23 14:38,FALSE,Pool Swimming,"3,250",433,1:00:52,106,129,0.8,--,--,1:51,0:39,--,--,0,0,0,0,0,0,0,0,0,1597,40,27,0,0:00,0,0:00,No,08:51.9,4,0,1:00:10,1:10:42,--,--
Running,8/12/23 8:14,FALSE,Rancho Cucamonga Running,5,379,0:42:01,151,164,2.9,177,194,8:24,7:44,141,141,1.08,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.9,6,0,0:41:15,0:53:31,"1,270","1,407"
Running,8/10/23 15:37,FALSE,Upland Running,5.01,392,0:42:47,152,166,3.1,178,188,8:33,7:44,110,125,1.06,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.3,6,0,0:42:45,0:50:45,"1,556","1,609"
Pool Swimming,8/9/23 14:48,FALSE,Pool Swimming,"1,000",138,0:17:00,90,122,0.1,--,--,1:42,0:53,--,--,0,0,0,0,0,0,0,0,0,359,34,21,0,0:00,0,0:00,No,00:53.8,9,0,0:17:00,1:08:10,--,--
Running,8/9/23 8:02,FALSE,Claremont Running,5.01,384,0:43:11,146,164,3.1,180,194,8:37,7:26,410,411,1.04,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.5,6,0,0:42:57,0:48:02,"1,461","1,839"
Running,8/8/23 8:48,FALSE,Chino Running,1.35,110,0:13:11,142,154,2,175,186,9:46,8:20,16,--,0.94,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:07.8,2,0,0:13:04,0:15:51,643,666
Workout,8/8/23 7:54,FALSE,Chino Running,6.34,460,0:45:01,161,189,3.8,177,228,7:06,6:17,41,56,1.28,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:10.6,7,0,0:44:58,0:49:12,643,673
Long Run,8/6/23 6:48,FALSE,Claremont Running,11.01,815,1:25:51,155,173,3.9,177,187,7:48,6:49,278,289,1.17,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.6,12,0,1:25:26,1:29:13,"1,174","1,260"
Treadmill Running,8/5/23 12:03,FALSE,Treadmill Running,6.5,486,0:55:41,148,171,3.1,169,176,8:34,9:27,--,--,0.96,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:58.2,6,0,0:55:40,1:05:13,--,--
Running,8/4/23 19:50,FALSE,Brea Running,2.01,159,0:18:15,146,153,2.2,176,186,9:05,8:33,3,--,1.01,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.2,3,0,0:18:07,0:19:16,337,348
Workout,8/4/23 19:25,FALSE,Brea Running,3.47,243,0:22:02,172,186,3.4,179,186,6:20,5:59,--,--,1.42,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:00.2,4,0,0:22:00,0:22:02,337,348
Running,8/4/23 18:57,FALSE,Brea Running,2.01,147,0:16:37,143,152,2.2,175,184,8:16,7:44,8,2,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.7,3,0,0:16:33,0:17:03,330,348
Pool Swimming,8/4/23 15:23,FALSE,Pool Swimming,900,144,0:15:02,89,123,0.1,--,--,1:32,0:47,--,--,0,0,0,0,0,0,0,0,0,327,32,24,0,0:00,0,0:00,No,15:02.1,1,0,0:13:47,0:15:48,--,--
Running,8/3/23 18:33,FALSE,Upland Running,3.01,231,0:24:03,151,163,2.9,179,188,8:00,7:17,44,47,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.0,4,0,0:24:01,0:24:38,"1,556","1,610"
Running,8/3/23 7:45,FALSE,Upland Running,6.06,463,0:51:36,146,166,3.2,179,188,8:31,7:30,127,131,1.06,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:29.5,7,0,0:51:28,0:52:03,"1,556","1,613"
Running,8/2/23 18:28,FALSE,Fontana Running,8,611,1:08:10,150,164,3.3,176,186,8:31,7:36,274,273,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.5,9,0,1:07:28,1:13:28,"1,467","1,619"
Workout,8/1/23 17:48,FALSE,Rancho Cucamonga Running,8,589,1:06:39,149,180,3.4,172,210,8:20,6:44,252,250,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.2,9,0,1:05:40,1:34:48,"1,270","1,407"
Long Run,7/30/23 8:26,FALSE,Solana Beach Running,11.02,798,1:26:58,150,166,3.6,177,188,7:54,7:19,199,184,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:06.9,12,0,1:26:30,1:36:06,7,99
Running,7/29/23 9:09,FALSE,Oceanside Running,6.02,435,0:51:16,137,159,2.9,174,187,8:31,7:29,118,110,1.09,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:06.7,7,0,0:50:42,1:00:11,13,59
Running,7/28/23 7:57,FALSE,Ontario Running,2.58,199,0:24:49,141,151,2.1,173,182,9:38,8:07,20,15,0.97,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:22.8,3,0,0:24:26,0:35:28,"1,109","1,122"
Workout,7/28/23 7:35,FALSE,2 x 9 min tempo,2.93,212,0:20:05,166,187,3.1,167,222,6:52,5:33,34,39,1.44,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:00.5,5,0,0:20:03,0:20:05,"1,109","1,122"
Running,7/28/23 7:16,FALSE,Ontario Running,1.51,107,0:11:42,141,157,2.1,179,188,7:45,6:54,--,--,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:47.4,2,0,0:11:41,0:11:42,"1,109","1,122"
Running,7/27/23 6:57,FALSE,Rancho Cucamonga Running,8.25,601,1:08:17,147,158,3.3,175,188,8:16,5:51,382,368,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:33.7,9,0,1:07:47,1:22:53,"1,534","1,626"
Treadmill Running,7/26/23 13:56,FALSE,Treadmill Running,8,583,1:05:52,151,176,3.3,167,176,8:14,9:33,--,--,0.96,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:39.9,7,0,1:05:51,1:16:19,--,--
Workout,7/25/23 18:06,FALSE,Treadmill Running,7,411,0:41:50,159,183,3.6,170,180,5:59,6:50,--,--,0.96,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:59.4,5,0,0:41:49,0:41:50,--,--
Treadmill Running,7/24/23 12:46,FALSE,Treadmill Running,4.05,303,0:33:31,149,173,3,167,171,8:17,9:45,--,--,0.95,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:58.8,4,0,0:33:29,0:33:31,--,--
Long Run,7/22/23 7:17,FALSE,Upland Running,10.01,726,1:15:38,156,187,4,176,188,7:33,6:45,243,244,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.7,11,0,1:14:22,1:31:13,"1,232","1,407"
Running,7/21/23 7:07,FALSE,Upland Running,8.01,593,1:05:36,147,165,3.4,176,187,8:11,7:03,123,132,1.12,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.7,9,0,1:05:08,1:14:06,"1,556","1,612"
Running,7/20/23 7:45,FALSE,Ontario Running,4.53,350,0:41:45,147,161,2.9,174,184,9:13,7:12,44,55,1,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:56.3,5,0,0:41:33,0:48:12,"1,097","1,122"
Workout,7/20/23 7:23,FALSE,Ontario Running,2.97,215,0:20:04,166,185,3.1,178,186,6:46,6:18,28,29,1.34,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,06:30.4,3,0,0:20:02,0:20:04,"1,109","1,122"
Running,7/20/23 7:14,FALSE,Ontario Running,0.58,43,05:06.4,137,148,1,171,177,8:46,8:07,--,--,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:06.4,1,0,0:05:06,05:06.4,"1,109","1,122"
Running,7/19/23 7:15,FALSE,Claremont Running,8.12,623,1:13:58,147,178,3.4,171,216,9:07,4:16,"1,106","1,103",1.03,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:35.6,9,0,1:12:27,1:27:40,"1,486","2,482"
Elliptical,7/18/23 9:16,FALSE,Elliptical,0,236,0:40:05,124,143,1.5,129,156,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,40:04.7,1,0,0:00:00,0:40:05,--,--
Running,7/18/23 7:43,FALSE,Ontario Running,1.65,131,0:14:03,153,164,2.3,175,184,8:32,7:40,32,30,1.08,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:26.4,2,0,0:13:54,0:15:33,"1,109","1,122"
Workout,7/18/23 6:58,FALSE,Ontario Running,5.51,416,0:40:02,166,183,3.9,176,186,7:16,6:47,3,9,1.26,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,03:33.5,6,0,0:40:00,0:40:02,"1,109","1,122"
Long Run,7/16/23 6:52,FALSE,Claremont Running,10.01,701,1:15:23,150,167,3.7,174,190,7:32,6:35,121,124,1.23,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.2,11,0,1:13:05,1:24:35,"1,182","1,259"
Running,7/15/23 7:56,FALSE,Walnut Running,6.03,444,0:48:34,148,163,3.2,175,194,8:03,6:47,463,466,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:15.1,7,0,0:48:18,0:55:44,718,867
Elliptical,7/14/23 16:22,FALSE,Elliptical,0,194,0:30:04,127,151,1.4,135,157,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,30:04.4,1,0,0:00:00,0:30:04,--,--
Running,7/14/23 9:21,FALSE,Irvine Running,1.27,101,0:11:16,151,161,2,174,184,8:54,7:30,34,--,1.04,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:22.9,2,0,0:11:05,0:12:05,7,47
Workout,7/14/23 8:42,FALSE,Irvine Running,4.83,354,0:35:02,160,187,3.6,177,186,7:15,6:16,24,64,1.25,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:38.5,5,0,0:35:00,0:36:16,7,56
Running,7/13/23 8:46,FALSE,Irvine Running,6.2,468,0:47:01,161,181,3.8,176,196,7:35,4:57,78,79,1.21,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:08.5,7,0,0:46:45,0:52:13,-36,56
Running,7/12/23 11:46,FALSE,Irvine Running,6.01,484,0:49:15,162,182,3.7,174,184,8:12,7:28,49,61,1.13,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.7,7,0,0:49:01,0:51:52,7,37
Workout,7/11/23 17:55,FALSE,Irvine Running,7.01,512,0:56:06,150,182,3.4,173,188,8:00,7:12,166,255,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:06.0,8,0,0:55:35,1:15:12,-7,204
Long Run,7/9/23 6:49,FALSE,Claremont Running,9.01,650,1:07:45,153,173,3.7,175,188,7:31,6:26,127,132,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.2,10,0,1:07:20,1:14:22,"1,182","1,259"
Treadmill Running,7/8/23 9:37,FALSE,Treadmill Running,2.85,195,0:28:40,131,139,1.9,170,176,10:04,9:27,--,--,0.94,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,08:41.2,3,0,0:28:40,0:28:40,--,--
Running,7/7/23 7:53,FALSE,La Verne Running,8.29,611,1:03:37,153,168,3.7,177,188,7:40,6:49,560,547,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:03.9,9,0,1:03:24,1:07:08,938,"1,058"
Treadmill Running,7/6/23 12:32,FALSE,Treadmill Running,7,530,0:58:02,152,175,3.5,172,178,8:17,9:16,--,--,0.95,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,08:51.2,6,0,0:58:01,1:01:26,--,--
Running,7/5/23 18:06,FALSE,Irvine Running,4.26,309,0:35:07,147,179,2.9,171,184,8:14,6:50,153,175,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:18.8,5,0,0:34:11,0:44:15,63,149
Elliptical,7/4/23 16:56,FALSE,Elliptical,0,137,0:35:01,105,129,0.6,25,158,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,35:01.4,1,0,0:00:00,0:38:08,--,--
Running,7/4/23 10:42,FALSE,Irvine Running,0.51,40,04:23.2,144,160,1.3,167,181,8:39,7:20,41,--,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:23.2,1,0,0:04:12,04:57.2,147,205
Workout,7/4/23 10:18,FALSE,Irvine Running ,2.81,203,0:20:02,158,180,3,175,179,7:07,6:29,121,162,1.29,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,05:26.8,3,0,0:20:00,0:20:02,127,171
Long Run,7/2/23 7:21,FALSE,Claremont Running,9.01,671,1:09:36,156,185,4,175,186,7:44,6:47,485,488,1.19,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.4,10,0,1:09:14,1:13:14,"1,170","1,490"
Running,7/1/23 7:22,FALSE,Fontana Running,5.01,361,0:39:55,144,160,3,177,186,7:58,7:07,65,54,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.3,6,0,0:39:47,0:44:57,"1,302","1,368"
Treadmill Running,6/30/23 11:48,FALSE,Treadmill Running,5,370,0:40:49,149,167,3.2,170,176,8:10,7:50,--,--,0.95,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:57.8,5,0,0:40:47,0:40:49,--,--
Workout,6/29/23 8:10,FALSE,Upland Running,6.19,458,0:49:59,147,166,3.4,176,228,8:05,4:56,131,115,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:05.0,7,0,0:49:43,0:57:42,"1,556","1,625"
Running,6/28/23 8:38,FALSE,Upland Running,5.01,359,0:39:37,144,166,3.1,175,184,7:54,7:22,79,92,1.16,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.0,6,0,0:39:16,0:47:39,"1,230","1,327"
Running,6/27/23 9:55,FALSE,Upland Running,6.01,458,0:49:35,151,176,3.4,175,198,8:15,6:57,335,312,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.1,7,0,0:49:05,0:57:26,"1,312","1,618"
Long Run,6/25/23 8:07,FALSE,Fontana Running,8.01,586,0:59:38,156,172,3.8,177,186,7:27,6:49,83,71,1.22,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.0,9,0,0:59:23,1:03:38,"1,302","1,374"
Running,6/24/23 8:42,FALSE,Claremont Running,4.01,299,0:34:09,140,158,2.9,176,184,8:32,7:16,113,132,1.07,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.6,5,0,0:34:05,0:34:09,"1,171","1,224"
Running,6/23/23 9:07,FALSE,Upland Running,7,502,0:56:11,145,155,3.3,174,187,8:01,7:09,249,262,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.1,8,0,0:55:43,1:02:03,"1,299","1,528"
Workout,6/22/23 7:51,FALSE,Upland Running,6.02,448,0:46:37,153,169,3.6,176,187,7:44,6:36,334,331,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:10.0,7,0,0:46:22,0:53:31,"1,312","1,620"
Running,6/21/23 8:12,FALSE,Claremont Running,5.01,365,0:40:36,144,163,3.1,174,184,8:06,7:10,333,330,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:03.4,6,0,0:40:11,0:45:02,"1,311","1,654"
Running,6/20/23 9:28,FALSE,Upland Running,6.01,430,0:48:22,143,168,3.2,175,186,8:03,6:56,120,131,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.9,7,0,0:48:03,0:58:02,"1,232","1,310"
Long Run,6/18/23 11:34,FALSE,Upland Running,7.01,534,0:54:14,160,182,4,174,184,7:44,6:59,126,180,1.19,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.3,8,0,0:54:06,0:58:37,"1,230","1,331"
Running,6/17/23 9:56,FALSE,Davis Running,6.01,465,0:47:21,157,177,3.7,178,191,7:53,7:11,7,10,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:04.2,7,0,0:46:56,0:49:10,11,59
Elliptical,6/16/23 10:50,FALSE,Elliptical,0,184,0:30:03,125,142,1.4,140,161,--,--,--,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,30:03.3,1,0,0:00:00,0:30:03,--,--
Running,6/16/23 9:17,FALSE,Yolo County Running,6.01,451,0:47:18,154,182,3.4,177,185,7:52,7:12,10,10,1.15,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:05.3,7,0,0:47:15,0:52:20,49,62
Pool Swimming,6/15/23 12:03,FALSE,Pool Swimming,"1,325",194,0:30:04,125,181,2.4,--,--,1:42,0:51,--,--,0,0,0,0,0,0,0,0,0,560,36,25,0,0:00,0,0:00,No,01:11.3,4,0,0:22:36,0:36:24,--,--
Running,6/15/23 11:12,FALSE,Davis Running,2,149,0:16:09,147,160,2.5,175,184,8:04,7:23,--,--,1.14,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.4,3,0,0:16:07,0:16:09,49,52
Running,6/14/23 9:25,FALSE,Yolo County Running,5.01,387,0:41:14,149,162,3.3,177,189,8:14,7:29,7,9,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:09.3,6,0,0:41:14,0:41:15,46,59
Running,6/13/23 8:54,FALSE,Yolo County Running,5.06,378,0:39:12,150,166,3.4,177,186,7:45,6:55,14,14,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:26.0,6,0,0:38:57,0:41:47,43,52
Long Run,6/11/23 9:26,FALSE,Yolo County Running,7,526,0:57:19,147,169,3.4,177,188,8:11,7:08,25,28,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:01.2,8,0,0:57:13,1:02:13,30,62
Running,6/10/23 12:56,FALSE,Davis Running,5.01,371,0:38:55,154,175,3.4,176,189,7:46,7:02,7,7,1.18,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.4,6,0,0:38:33,0:43:29,49,59
Pool Swimming,6/8/23 12:05,FALSE,Pool Swimming,"1,600",210,0:30:06,120,147,1.4,--,--,1:53,0:54,--,--,0,0,0,0,0,0,0,0,0,859,42,29,0,0:00,0,0:00,No,00:56.4,9,0,0:30:06,1:02:51,--,--
Running,5/17/23 9:26,FALSE,Davis Running,4.02,301,0:33:35,146,168,3.1,177,188,8:22,7:40,7,7,1.09,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:08.2,5,0,0:33:02,0:41:02,56,62
Running,5/15/23 18:47,FALSE,Davis Running,5.5,417,0:46:34,147,171,3.1,174,190,8:28,7:21,4,7,1.09,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,04:04.0,6,0,0:46:16,1:05:23,43,52
Running,5/13/23 8:36,FALSE,Davis Running,4.34,336,0:35:35,143,168,3.3,177,190,8:12,7:29,20,20,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,02:45.8,5,0,0:35:16,0:55:10,43,57
Running,5/11/23 10:35,FALSE,Yolo County Running,1.1,84,0:12:35,127,142,1,171,182,11:28,9:59,--,5,0.82,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:59.5,2,0,0:12:28,0:13:39,46,52
Running,5/11/23 10:06,FALSE,Yolo County Running,3,223,0:22:02,161,185,3.2,180,194,7:21,5:27,--,1,1.21,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,01:27.2,11,0,0:21:58,0:22:08,49,51
Running,5/11/23 9:38,FALSE,Yolo County Running,2.02,144,0:17:52,131,144,2.1,176,186,8:52,6:47,17,17,1.03,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:07.6,3,0,0:17:41,0:19:12,35,52
Running,5/9/23 10:47,FALSE,Yolo County Running,2,165,0:21:01,141,154,2.1,172,186,10:31,5:36,7,7,0.89,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,09:49.0,2,0,0:20:53,0:22:09,46,52
Running,5/9/23 10:16,FALSE,Yolo County Running,2.23,164,0:17:30,151,183,2.6,135,228,7:51,4:16,3,3,1.41,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:37.2,9,0,0:14:29,0:17:33,49,52
Running,5/9/23 9:44,FALSE,Yolo County Running,2.01,161,0:16:14,149,165,2.7,179,188,8:05,7:14,--,--,1.11,0,0,0,0,0,0,0,0,--,0,0,0,0:00,0,0:00,No,00:02.0,3,0,0:16:14,0:16:14,43,60